
00 IDLE
01 MEANING_LESS_STATE
02 ADD_TO_WB_QUEUE
03 ADD_TO_REQ_QUEUE
04 ADD_TO_CACHE_RESP_QUEUE
05 ADD_TO_CACHE_RESP_QUEUE_STORE
06 ADD_TO_CACHE_RESP_AND_WB_QUEUE
07 ADD_TO_CACHE_SNOOP_RESP_QUEUE
08 ADD_TO_TAG_ARRAY
09 UPDATE_CACHE
0A REFILL_CACHE
0B IDLE_2
0C PUSH_DATA_TO_WB_QUEUE
0D WRITE_TO_CACHE
0E ADD_TO_MEMORY_QUEUE
0F ADD_TO_PR_LOOKUP_TABLE
10 ADD_TO_MEM_RESP
11 WAKEUP_DEP
12 ADD_TO_MEM_RESP_2
13 WRITE_BACK
14 REMOVE_FROM_CACHE
15 CACHE_FLUSH
16 CACHE_FLUSH_UPDATE
17 CACHE_FLUSH_WAIT
18 ADD_FLUSH_TO_WB_QUEUE
19 LLCC_FLUSH_DONE
1A WRITE_DATA_ARRAY_ADD_TO_CACHE_RESP_Q
1B READ_DATA_ARRAY
1C LOOKUP_TABLE_REQ_WR_WAIT
1D LOOKUP_TABLE_REQ_RD_WAIT
1E ADD_TO_MEMORY_QUEUE_2
1F IMPOSSIBLE
20 PUSH_DATA_TO_LO_CRIT_WB_QUEUE
21 ADD_TO_LO_CRIT_WB_QUEUE
22 WRITE_DATA_ARRAY_ADD_TO_CACHE_RESP_Q_LO_CRIT
23 READ_DATA_ARRAY_LO_CRIT
24 REISSUE
